,Date,default
1089,2012-03-19,1
1090,2012-03-20,1
1091,2012-03-21,1
1092,2012-03-22,1
1093,2012-03-22,1
1094,2012-03-22,1
1095,2012-03-22,1
1096,2012-03-22,1
1097,2012-03-22,1
1098,2012-03-24,1
1099,2012-03-29,1
1100,2012-03-29,1
1101,2012-03-30,1
1102,2012-03-30,1
1103,2012-03-31,1
1104,2012-04-01,1
1105,2012-04-02,1
1106,2012-04-03,1
1107,2012-04-05,1
1108,2012-04-11,1
1109,2012-04-11,1
1110,2012-04-12,1
1111,2012-04-12,1
1112,2012-04-17,1
1113,2012-04-18,1
1114,2012-04-18,1
1115,2012-04-18,1
1116,2012-04-19,1
1117,2012-04-19,1
1118,2012-04-20,1
1119,2012-04-20,1
1120,2012-04-24,1
1121,2012-05-03,1
1122,2012-05-03,1
1123,2012-05-07,1
1124,2012-05-07,1
1125,2012-05-08,1
1126,2012-05-08,1
1127,2012-05-09,1
1128,2012-05-14,1
1129,2012-05-14,1
1130,2012-05-14,1
1131,2012-05-15,1
1132,2012-05-15,1
1133,2012-05-17,1
1134,2012-05-24,1
1135,2012-05-30,1
1136,2012-05-30,1
1137,2012-06-01,1
1138,2012-06-01,1
1139,2012-06-02,1
1140,2012-06-04,1
1141,2012-06-04,1
1142,2012-06-06,1
1143,2012-06-11,1
1144,2012-06-11,1
1145,2012-06-11,1
1146,2012-06-11,1
1147,2012-06-11,1
1148,2012-06-12,1
1149,2012-06-12,1
1150,2012-06-12,1
1151,2012-06-15,1
1152,2012-06-15,1
1153,2012-06-16,1
1154,2012-06-20,1
1155,2012-06-25,1
1156,2012-06-25,1
1157,2012-06-27,1
1158,2012-06-28,1
1159,2012-06-28,1
1160,2012-06-28,1
1161,2012-06-29,1
1162,2012-06-29,1
1163,2012-06-29,1
1164,2012-06-30,1
1165,2012-07-01,1
1166,2012-07-02,1
1167,2012-07-02,1
1168,2012-07-03,1
1169,2012-07-09,1
1170,2012-07-09,1
1171,2012-07-13,1
1172,2012-07-16,1
1173,2012-07-17,1
1174,2012-07-23,1
1175,2012-07-27,1
1176,2012-07-27,1
1177,2012-07-30,1
1178,2012-07-31,1
1179,2012-07-31,1
1180,2012-07-31,1
1181,2012-08-01,1
1182,2012-08-01,1
1183,2012-08-05,1
1184,2012-08-15,1
1185,2012-08-16,1
1186,2012-08-17,1
1187,2012-08-20,1
1188,2012-08-20,1
